"state_code","state_name","region","osha_state_plan","procurement_url","legislature_url","gov_url","health_dept_url","labor_url","emergency_mgmt_url","medical_board_url","insurance_dept_url","corrections_url","dot_url","post_commission_url","last_refreshed","created_at"
"GA","Georgia","Southeast","federal","https://doas.georgia.gov/procurement","https://www.legis.ga.gov","https://gov.georgia.gov","https://dph.georgia.gov","https://dol.georgia.gov","https://gema.georgia.gov","https://medicalboard.georgia.gov","https://oci.georgia.gov","https://gdc.georgia.gov","https://www.dot.ga.gov","https://www.gapost.org",,"2026-04-08 04:10:32.096919"
"HI","Hawaii","Pacific","full","https://spo.hawaii.gov","https://www.capitol.hawaii.gov","https://governor.hawaii.gov","https://health.hawaii.gov","https://labor.hawaii.gov","https://dod.hawaii.gov/hiema","https://cca.hawaii.gov/pvl/boards/medical",,,"https://hidot.hawaii.gov","https://www.sheriffs.org",,"2026-04-08 04:10:32.098872"
"IA","Iowa","Midwest","federal","https://bidopportunities.iowa.gov","https://www.legis.iowa.gov","https://governor.iowa.gov","https://hhs.iowa.gov","https://www.iowaworkforcedevelopment.gov","https://homelandsecurity.iowa.gov",,,,"https://iowadot.gov","https://www.dps.state.ia.us/asd/letsb",,"2026-04-08 04:10:32.108208"
"ID","Idaho","Mountain","full","https://purchasing.idaho.gov","https://legislature.idaho.gov","https://gov.idaho.gov","https://healthandwelfare.idaho.gov","https://labor.idaho.gov","https://bhs.idaho.gov","https://bom.idaho.gov",,,"https://itd.idaho.gov","https://post.idaho.gov",,"2026-04-08 04:10:32.100739"
"IL","Illinois","Midwest","public_only","https://bidbuy.illinois.gov","https://www.ilga.gov","https://gov.illinois.gov","https://dph.illinois.gov","https://www.illinoisworknet.com","https://iema.illinois.gov","https://idfpr.illinois.gov/dpr/boards/medicalboard.html",,"https://www.illinois.gov/sites/idoc","https://www.idot.illinois.gov","https://www.ptb.illinois.gov",,"2026-04-08 04:10:32.102551"
"IN","Indiana","Midwest","full","https://www.in.gov/idoa/procurement","https://iga.in.gov","https://www.in.gov/gov","https://www.in.gov/health","https://www.in.gov/dwd","https://www.in.gov/dhs","https://www.in.gov/pla/medical.htm",,,"https://www.in.gov/indot","https://www.in.gov/ilea","{""procurement"":""2026-04-14T03:37:37.499Z""}","2026-04-08 04:10:32.10501"
"KS","Kansas","Midwest","federal","https://www.da.ks.gov/purch","https://www.kslegislature.org","https://governor.kansas.gov","https://www.kdhe.ks.gov","https://www.dol.ks.gov","https://www.kansastag.gov/KDEM",,,,"https://www.ksdot.org","https://www.kscpost.org",,"2026-04-08 04:10:32.110326"
"KY","Kentucky","South","full","https://mypurchase.ky.gov","https://legislature.ky.gov","https://governor.ky.gov","https://chfs.ky.gov/agencies/dph","https://kcc.ky.gov","https://kyem.ky.gov","https://kbml.ky.gov",,,"https://transportation.ky.gov","https://kcjis.ky.gov/krisp/login.aspx",,"2026-04-08 04:10:32.113207"
"LA","Louisiana","South","federal","https://www.doa.la.gov/pages/oss/index.aspx","https://legis.la.gov","https://gov.louisiana.gov","https://ldh.la.gov","https://www.laworks.net","https://gohsep.la.gov","https://www.lsbme.la.gov",,,"https://dotd.la.gov","https://www.cole.la.gov",,"2026-04-08 04:10:32.11503"
"MA","Massachusetts","Northeast","federal","https://www.commbuys.com","https://malegislature.gov","https://www.mass.gov/governor","https://www.mass.gov/orgs/department-of-public-health","https://www.mass.gov/orgs/executive-office-of-labor-and-workforce-development","https://www.mass.gov/mema","https://www.mass.gov/orgs/board-of-registration-in-medicine",,,"https://www.mass.gov/orgs/massachusetts-department-of-transportation","https://www.mass.gov/orgs/peace-officer-standards-and-training-commission",,"2026-04-08 04:10:32.123344"
"MD","Maryland","Mid-Atlantic","full","https://emaryland.buyspeed.com","https://mgaleg.maryland.gov","https://governor.maryland.gov","https://health.maryland.gov","https://www.labor.maryland.gov","https://mema.maryland.gov","https://www.mbp.state.md.us","https://insurance.maryland.gov",,"https://www.roads.maryland.gov","https://police.maryland.gov/mptc",,"2026-04-08 04:10:32.120171"
"ME","Maine","Northeast","public_only","https://www.maine.gov/dafs/bbm/procurementservices","https://legislature.maine.gov","https://www.maine.gov/governor","https://www.maine.gov/dhhs/mecdc","https://www.maine.gov/labor","https://www.maine.gov/mema",,,,"https://www.maine.gov/mdot","https://www.maine.gov/dps/mcja",,"2026-04-08 04:10:32.118207"
"MI","Michigan","Midwest","full","https://www.michigan.gov/dtmb/procurement","https://www.legislature.mi.gov","https://www.michigan.gov/whitmer","https://www.michigan.gov/mdhhs","https://www.michigan.gov/leo","https://www.michigan.gov/msp/divisions/emhsd","https://www.michigan.gov/lara/0,4601,7-154-89334_72600_72603_27529_27533---,00.html",,,"https://www.michigan.gov/mdot","https://www.michigan.gov/mcoles",,"2026-04-08 04:10:32.125434"
"MN","Minnesota","Midwest","full","https://mn.gov/admin/government/procurement","https://www.leg.mn.gov","https://mn.gov/governor","https://www.health.state.mn.us","https://mn.gov/deed","https://dps.mn.gov/divisions/hsem","https://mn.gov/boards/medical-practice",,,"https://www.dot.state.mn.us","https://dps.mn.gov/divisions/post",,"2026-04-08 04:10:32.127371"
"MO","Missouri","Midwest","federal","https://oa.mo.gov/purchasing","https://www.house.mo.gov","https://governor.mo.gov","https://health.mo.gov","https://labor.mo.gov","https://sema.dps.mo.gov","https://pr.mo.gov/physicians.asp",,,"https://www.modot.org","https://dps.mo.gov/dir/programs/post",,"2026-04-08 04:10:32.133454"
"MS","Mississippi","South","federal","https://www.dfa.ms.gov/purchasing","https://www.legislature.ms.gov","https://www.governor.ms.gov","https://msdh.ms.gov","https://mdes.ms.gov","https://www.msema.org",,,,"https://mdot.ms.gov","https://www.dps.state.ms.us/misdemeanor-violations/lbfpehcp",,"2026-04-08 04:10:32.131556"
"MT","Montana","Mountain","federal","https://vendor.mt.gov","https://leg.mt.gov","https://governor.mt.gov","https://dphhs.mt.gov","https://dli.mt.gov","https://des.mt.gov",,,,"https://www.mdt.mt.gov","https://dojmt.gov/le/post-training",,"2026-04-08 04:10:32.137084"
"NC","North Carolina","Southeast","full","https://ips.nc.gov","https://ncleg.gov","https://www.nc.gov/governor","https://www.ncdhhs.gov","https://www.des.nc.gov","https://www.ncdps.gov/NCEM","https://www.ncmedboard.org",,,"https://www.ncdot.gov","https://www.ncdoj.gov/public-safety/criminal-justice-education-and-training",,"2026-04-08 04:10:32.15428"
"ND","North Dakota","Midwest","federal","https://www.nd.gov/omb/agencies/procurement","https://www.ndlegis.gov","https://www.governor.nd.gov","https://www.hhs.nd.gov","https://www.jobs.nd.gov","https://www.des.nd.gov",,,,"https://www.dot.nd.gov","https://www.polecc.nd.gov",,"2026-04-08 04:10:32.160653"
"NE","Nebraska","Midwest","federal","https://das.nebraska.gov/materiel","https://nebraskalegislature.gov","https://governor.nebraska.gov","https://dhhs.ne.gov/Pages/Public-Health.aspx","https://neworkforce.ne.gov","https://nema.nebraska.gov",,,,"https://dot.nebraska.gov","https://cjis.nebraska.gov/tcole",,"2026-04-08 04:10:32.139048"
"NH","New Hampshire","Northeast","federal","https://www.das.nh.gov/organization/commissioner/procurement","https://www.gencourt.state.nh.us","https://www.governor.nh.gov","https://www.dhhs.nh.gov","https://www.nhes.nh.gov","https://www.nh.gov/safety/divisions/hsem",,,,"https://www.nh.gov/dot","https://www.pstc.nh.gov",,"2026-04-08 04:10:32.143949"
"NJ","New Jersey","Mid-Atlantic","public_only","https://www.njstart.gov","https://www.njleg.state.nj.us","https://www.nj.gov/governor","https://www.nj.gov/health","https://www.nj.gov/labor","https://www.njoem.nj.gov","https://www.njconsumeraffairs.gov/bme",,,"https://www.state.nj.us/transportation","https://www.njptc.org",,"2026-04-08 04:10:32.146209"
"NM","New Mexico","Southwest","full","https://www.generalservices.state.nm.us/State_Purchasing","https://www.nmlegis.gov","https://www.governor.state.nm.us","https://www.nmhealth.org","https://www.dws.state.nm.us","https://www.nmdhsem.org","https://www.nmbome.state.nm.us",,,"https://www.dot.nm.gov","https://www.lea.nm.gov",,"2026-04-08 04:10:32.150208"
"NV","Nevada","West","full","https://nvepro.nv.gov","https://www.leg.state.nv.us","https://gov.nv.gov","https://dpbh.nv.gov","https://www.nvdetr.org","https://dem.nv.gov","https://medboard.nv.gov",,,"https://www.nevadadot.com","https://post.nv.gov",,"2026-04-08 04:10:32.142207"
"NY","New York","Northeast","public_only","https://www.ogs.ny.gov/procurement","https://www.nysenate.gov","https://www.governor.ny.gov","https://www.health.ny.gov","https://labor.ny.gov","https://www.dhses.ny.gov","https://www.op.nysed.gov/prof/med","https://www.dfs.ny.gov","https://doccs.ny.gov","https://www.dot.ny.gov","https://www.dcjs.ny.gov/law-enforcement-officer-training",,"2026-04-08 04:10:32.152348"
"OH","Ohio","Midwest","federal","https://procure.ohio.gov","https://www.legislature.ohio.gov","https://governor.ohio.gov","https://odh.ohio.gov","https://jfs.ohio.gov","https://ema.ohio.gov","https://med.ohio.gov",,,"https://www.transportation.ohio.gov","https://www.ohioattorneygeneral.gov/Law-Enforcement/Ohio-Peace-Officer-Training-Academy",,"2026-04-08 04:10:32.164687"
"OK","Oklahoma","South","federal","https://www.ok.gov/dcs/purchasing","https://www.oklegislature.gov","https://www.governor.ok.gov","https://oklahoma.gov/health.html","https://www.ok.gov/oesc","https://www.ok.gov/OEM",,,,"https://www.odot.org","https://www.ok.gov/cleet",,"2026-04-08 04:10:32.169772"
"OR","Oregon","West","full","https://www.oregon.gov/das/procurement","https://www.oregonlegislature.gov","https://www.oregon.gov/gov","https://www.oregon.gov/oha","https://www.oregon.gov/employ","https://www.oregon.gov/oem","https://www.oregon.gov/omb",,,"https://www.oregon.gov/odot","https://www.oregon.gov/dpsst",,"2026-04-08 04:10:32.208234"
"PA","Pennsylvania","Mid-Atlantic","public_only","https://www.dgs.pa.gov/Materials-Services-Procurement","https://www.legis.state.pa.us","https://www.governor.pa.gov","https://www.health.pa.gov","https://www.dli.pa.gov","https://www.pema.pa.gov","https://www.dos.pa.gov/ProfessionalLicensing/BoardsCommissions/Medicine",,,"https://www.penndot.pa.gov","https://www.mpoetc.pa.gov",,"2026-04-08 04:10:32.21107"
"RI","Rhode Island","Northeast","federal","https://ridop.ri.gov","https://www.rilegislature.gov","https://www.ri.gov/governor","https://health.ri.gov","https://dlt.ri.gov","https://www.riema.ri.gov",,,,"https://www.dot.ri.gov","https://www.rijag.ri.gov/policetraining",,"2026-04-08 04:10:32.217222"
"SC","South Carolina","Southeast","full","https://procure.sc.gov","https://www.scstatehouse.gov","https://governor.sc.gov","https://www.scdhec.gov","https://www.dew.sc.gov","https://www.scemd.org","https://www.llr.sc.gov/pol/medical",,,"https://www.scdot.org","https://www.sccja.sc.gov",,"2026-04-08 04:10:32.21952"
"SD","South Dakota","Midwest","federal","https://bids.sd.gov","https://sdlegislature.gov","https://sd.gov/governor","https://doh.sd.gov","https://dlr.sd.gov","https://oem.sd.gov",,,,"https://dot.sd.gov","https://pcst.sd.gov",,"2026-04-08 04:10:32.223516"
"TN","Tennessee","Southeast","full","https://www.tn.gov/generalservices/procurement.html","https://www.capitol.tn.gov","https://www.tn.gov/governor.html","https://www.tn.gov/health.html","https://www.tn.gov/workforce","https://www.tn.gov/tema.html","https://www.tn.gov/health/health-program-areas/health-professional-boards/medical-board.html",,,"https://www.tn.gov/tdot.html","https://www.tn.gov/tcole.html",,"2026-04-08 04:10:32.225285"
"TX","Texas","South","federal","https://www.txsmartbuy.gov","https://www.capitol.texas.gov","https://gov.texas.gov","https://www.dshs.texas.gov","https://www.twc.texas.gov","https://www.tdem.texas.gov","https://www.tmb.state.tx.us","https://www.tdi.texas.gov","https://www.tdcj.texas.gov","https://www.txdot.gov","https://www.tcole.texas.gov","{""procurement"":""2026-06-24T05:00:29.729Z""}","2026-04-08 04:10:32.227082"
"UT","Utah","Mountain","full","https://purchasing.utah.gov","https://le.utah.gov","https://governor.utah.gov","https://health.utah.gov","https://jobs.utah.gov","https://dem.utah.gov","https://dopl.utah.gov/med",,,"https://www.udot.utah.gov","https://post.utah.gov",,"2026-04-08 04:10:32.231254"
"VA","Virginia","Mid-Atlantic","full","https://eva.virginia.gov","https://lis.virginia.gov","https://www.governor.virginia.gov","https://www.vdh.virginia.gov","https://www.vec.virginia.gov","https://www.vaemergency.gov","https://www.dhp.virginia.gov/medicine","https://www.scc.virginia.gov/boi","https://vadoc.virginia.gov","https://www.vdot.virginia.gov","https://www.dcjs.virginia.gov",,"2026-04-08 04:10:32.236696"
"VT","Vermont","Northeast","full","https://www.bgs.vermont.gov/purchasing","https://legislature.vermont.gov","https://governor.vermont.gov","https://www.healthvermont.gov","https://labor.vermont.gov","https://vem.vermont.gov","https://www.sec.state.vt.us/professional-regulation/list-of-professions/medicine.aspx",,,"https://vtrans.vermont.gov","https://vcjtc.vermont.gov",,"2026-04-08 04:10:32.234751"
"WA","Washington","West","full","https://www.des.wa.gov/services/contracting-purchasing","https://www.leg.wa.gov","https://www.governor.wa.gov","https://www.doh.wa.gov","https://www.esd.wa.gov","https://mil.wa.gov/emergency-management-division","https://www.doh.wa.gov/LicensesPermitsandCertificates/MedicalCommission",,,"https://www.wsdot.wa.gov","https://www.cjtc.wa.gov",,"2026-04-08 04:10:32.240408"
"WI","Wisconsin","Midwest","federal","https://www.vendornet.wi.gov","https://docs.legis.wisconsin.gov","https://www.evers.wi.gov","https://www.dhs.wisconsin.gov","https://dwd.wisconsin.gov","https://wem.wi.gov","https://drl.wisconsin.gov/boards/medical-examining/index.htm",,,"https://www.wisdot.gov","https://lesb.wi.gov",,"2026-04-08 04:10:32.246289"
"WV","West Virginia","Mid-Atlantic","federal","https://www.state.wv.us/admin/purchase","https://www.wvlegislature.gov","https://governor.wv.gov","https://dhhr.wv.gov","https://workforcewv.org","https://emd.wv.gov",,,,"https://transportation.wv.gov","https://www.pscja.wv.gov",,"2026-04-08 04:10:32.242437"
"WY","Wyoming","Mountain","full","https://ai.wyo.gov/divisions/administrative-services/procurement","https://wyoleg.gov","https://governor.wyo.gov","https://health.wyo.gov","https://wyomingworkforce.org","https://wsems.wyo.gov",,,,"https://www.dot.state.wy.us","https://post.wyo.gov",,"2026-04-08 04:10:32.248239"
